
=== loso_test_p1_val_p2 | stats_svm ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_rf ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_knn ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | pointnet_gru ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]
train=[1, 4, 5, 6, 7], val=[3], test=[2]

=== loso_test_p2_val_p3 | pointnet_gru ===
train=[1, 4, 5, 6, 7], val=[3], test=[2]
[loso_test_p2_val_p3] pointnet_gru epoch 001/30 | train_loss=0.1851 | train_acc=0.9837 | val_f1=0.4399
[loso_test_p2_val_p3] pointnet_gru epoch 002/30 | train_loss=0.1403 | train_acc=0.9977 | val_f1=0.5579
[loso_test_p2_val_p3] pointnet_gru epoch 003/30 | train_loss=0.1370 | train_acc=0.9987 | val_f1=0.4274
[loso_test_p2_val_p3] pointnet_gru epoch 004/30 | train_loss=0.1354 | train_acc=0.9989 | val_f1=0.4550
[loso_test_p2_val_p3] pointnet_gru epoch 005/30 | train_loss=0.1352 | train_acc=0.9990 | val_f1=0.4346
[loso_test_p2_val_p3] pointnet_gru epoch 006/30 | train_loss=0.1343 | train_acc=0.9992 | val_f1=0.4603
[loso_test_p2_val_p3] pointnet_gru epoch 007/30 | train_loss=0.1337 | train_acc=0.9994 | val_f1=0.5612
[loso_test_p2_val_p3] pointnet_gru epoch 008/30 | train_loss=0.1330 | train_acc=0.9996 | val_f1=0.5175
[loso_test_p2_val_p3] pointnet_gru epoch 009/30 | train_loss=0.1331 | train_acc=0.9995 | val_f1=0.6741
[loso_test_p2_val_p3] pointnet_gru epoch 010/30 | train_loss=0.1325 | train_acc=0.9997 | val_f1=0.6242
[loso_test_p2_val_p3] pointnet_gru epoch 011/30 | train_loss=0.1322 | train_acc=0.9997 | val_f1=0.5138
[loso_test_p2_val_p3] pointnet_gru epoch 012/30 | train_loss=0.1322 | train_acc=0.9997 | val_f1=0.5089
[loso_test_p2_val_p3] pointnet_gru epoch 013/30 | train_loss=0.1321 | train_acc=0.9997 | val_f1=0.5655
[loso_test_p2_val_p3] pointnet_gru epoch 014/30 | train_loss=0.1316 | train_acc=0.9999 | val_f1=0.5232
[loso_test_p2_val_p3] pointnet_gru epoch 015/30 | train_loss=0.1316 | train_acc=0.9998 | val_f1=0.4940
[loso_test_p2_val_p3] pointnet_gru epoch 016/30 | train_loss=0.1314 | train_acc=0.9999 | val_f1=0.5292
[loso_test_p2_val_p3] pointnet_gru epoch 017/30 | train_loss=0.1312 | train_acc=1.0000 | val_f1=0.4912
[loso_test_p2_val_p3] pointnet_gru epoch 018/30 | train_loss=0.1313 | train_acc=0.9999 | val_f1=0.4909
[loso_test_p2_val_p3] pointnet_gru epoch 019/30 | train_loss=0.1311 | train_acc=1.0000 | val_f1=0.4669
