variant,degradation,level,seed,sample_accuracy,sample_macro_f1,sample_weighted_f1,sample_count,trial_accuracy,trial_macro_f1,trial_count
no_transformer,noise,0.1,2,0.8354642313546423,0.8030156367137105,0.8030156367137105,26280,0.9,0.8666666666666666,30
no_transformer,clutter,0.0,0,0.8829908675799086,0.8674996257170052,0.8674996257170053,26280,0.9,0.8666666666666666,30
no_transformer,clutter,0.1,0,0.23158295281582952,0.19352584790454525,0.19352584790454525,26280,0.2,0.12,30
no_transformer,clutter,0.1,1,0.23340943683409437,0.19587951102356735,0.19587951102356735,26280,0.2,0.12,30
no_transformer,clutter,0.1,2,0.2330669710806697,0.19586090172693815,0.19586090172693818,26280,0.2,0.12,30
no_transformer,clutter,0.2,0,0.13660578386605784,0.07254502329568703,0.07254502329568703,26280,0.1,0.01818181818181818,30
no_transformer,clutter,0.2,1,0.1356544901065449,0.07146217625897403,0.07146217625897403,26280,0.1,0.01818181818181818,30
no_transformer,clutter,0.2,2,0.13668188736681888,0.07290648304343687,0.07290648304343687,26280,0.1,0.01818181818181818,30
no_transformer,clutter,0.4,0,0.10117960426179605,0.020533040351939206,0.02053304035193921,26280,0.1,0.01818181818181818,30
no_transformer,clutter,0.4,1,0.10125570776255707,0.02068286797756922,0.020682867977569217,26280,0.1,0.01818181818181818,30
no_transformer,clutter,0.4,2,0.10110350076103501,0.020382989239765052,0.020382989239765052,26280,0.1,0.01818181818181818,30
no_transformer,clutter,0.6,0,0.1,0.01818181818181818,0.01818181818181818,26280,0.1,0.01818181818181818,30
no_transformer,clutter,0.6,1,0.1,0.01818181818181818,0.01818181818181818,26280,0.1,0.01818181818181818,30
no_transformer,clutter,0.6,2,0.1,0.01818181818181818,0.01818181818181818,26280,0.1,0.01818181818181818,30
no_transformer,clutter,0.8,0,0.1,0.01818181818181818,0.01818181818181818,26280,0.1,0.01818181818181818,30
no_transformer,clutter,0.8,1,0.1,0.01818181818181818,0.01818181818181818,26280,0.1,0.01818181818181818,30
no_transformer,clutter,0.8,2,0.1,0.01818181818181818,0.01818181818181818,26280,0.1,0.01818181818181818,30
no_attention_pool,missing,0.0,0,0.9603500761035008,0.9597674556753683,0.9597674556753683,26280,1.0,1.0,30
no_attention_pool,missing,0.1,0,0.9632420091324201,0.9627983650585683,0.9627983650585686,26280,1.0,1.0,30
no_attention_pool,missing,0.1,1,0.9633181126331811,0.9628776357917905,0.9628776357917903,26280,1.0,1.0,30
no_attention_pool,missing,0.1,2,0.9627473363774733,0.9622853396269824,0.9622853396269826,26280,1.0,1.0,30
no_attention_pool,missing,0.2,0,0.9648401826484019,0.9644360580256123,0.9644360580256124,26280,1.0,1.0,30
no_attention_pool,missing,0.2,1,0.9659817351598173,0.9656058941894768,0.9656058941894768,26280,1.0,1.0,30
no_attention_pool,missing,0.2,2,0.965372907153729,0.9649925212570729,0.9649925212570727,26280,1.0,1.0,30
no_attention_pool,missing,0.3,0,0.9678462709284628,0.967512690226745,0.967512690226745,26280,1.0,1.0,30
no_attention_pool,missing,0.3,1,0.9680365296803652,0.9676975921843558,0.9676975921843558,26280,1.0,1.0,30
no_attention_pool,missing,0.3,2,0.9682648401826484,0.9679653346931738,0.9679653346931737,26280,1.0,1.0,30
no_attention_pool,missing,0.4,0,0.9710426179604261,0.9707627574124222,0.9707627574124222,26280,1.0,1.0,30
no_attention_pool,missing,0.4,1,0.9716514459665144,0.9713900275655177,0.9713900275655176,26280,1.0,1.0,30
no_attention_pool,missing,0.4,2,0.9708904109589042,0.9706206885094749,0.9706206885094749,26280,1.0,1.0,30
no_attention_pool,missing,0.5,0,0.9734398782343988,0.9732235470202302,0.97322354702023,26280,1.0,1.0,30
no_attention_pool,missing,0.5,1,0.9733637747336378,0.9731816330020179,0.973181633002018,26280,1.0,1.0,30
no_attention_pool,missing,0.5,2,0.9732876712328767,0.9730848741185086,0.9730848741185086,26280,1.0,1.0,30
no_attention_pool,missing,0.6,0,0.972869101978691,0.9728032679555554,0.9728032679555554,26280,1.0,1.0,30
no_attention_pool,missing,0.6,1,0.9737823439878235,0.9737270124756044,0.9737270124756043,26280,1.0,1.0,30
no_attention_pool,missing,0.6,2,0.9730213089802131,0.9729689795288132,0.9729689795288133,26280,1.0,1.0,30
no_attention_pool,missing,0.7,0,0.9569254185692542,0.9570764040972003,0.9570764040972004,26280,1.0,1.0,30
no_attention_pool,missing,0.7,1,0.9590943683409436,0.9592467044597637,0.9592467044597636,26280,1.0,1.0,30
